Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Jahad Thomas,RB,70.0,190.0,4.62,32.0,11.0,116.0,0.0,0.0,0.0,0.0,2017.0,61.0,33.0,6.0,418.0,12.7,207.0,56.0,13.0,953.0,4.6
De'Veon Smith,RB,71.0,223.0,0.0,29.0,22.0,108.0,7.3,4.56,0.0,0.0,2017.0,17.0,16.0,0.0,66.0,4.1,181.0,42.0,10.0,846.0,4.7
Justin Crawford,RB,71.0,199.0,4.64,33.5,11.0,122.0,0.0,0.0,0.0,0.0,2018.0,16.0,8.0,0.0,38.0,4.8,190.0,42.0,7.0,1061.0,5.6
Josh Adams,RB,74.0,213.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2018.0,32.0,13.0,0.0,101.0,7.8,206.0,84.0,9.0,1430.0,6.9
Saquon Barkley,RB,72.0,233.0,4.4,41.0,29.0,0.0,0.0,4.24,1.0,2.0,2018.0,85.0,54.0,3.0,632.0,11.7,217.0,92.0,18.0,1271.0,5.9
Kalen Ballage,RB,73.0,228.0,4.46,33.5,15.0,122.0,6.91,4.35,1.0,131.0,2018.0,10.0,20.0,0.0,91.0,4.6,157.0,35.0,6.0,669.0,4.3
Melvin Gordon,RB,73.0,215.0,4.52,35.0,19.0,126.0,7.04,4.07,1.0,15.0,2015.0,35.0,19.0,3.0,153.0,8.1,343.0,88.0,29.0,2587.0,7.5
Dee Hart,RB,67.0,199.0,4.8,33.0,0.0,113.0,7.2,4.38,0.0,0.0,2015.0,24.0,18.0,2.0,189.0,10.5,194.0,76.0,16.0,1275.0,6.6
Braylon Heard,RB,70.0,198.0,4.63,30.5,19.0,116.0,7.19,4.4,0.0,0.0,2015.0,21.0,21.0,0.0,108.0,5.1,72.0,73.0,4.0,366.0,5.1
John Crockett,RB,72.0,217.0,4.62,40.0,15.0,125.0,7.15,4.25,0.0,0.0,2015.0,26.0,1.0,0.0,26.0,26.0,17.0,80.0,3.0,139.0,8.2
Michael Dyer,RB,68.0,218.0,4.58,34.0,26.0,120.0,0.0,0.0,0.0,0.0,2015.0,32.0,3.0,0.0,40.0,13.3,110.0,46.0,5.0,481.0,4.4
Jahwan Edwards,RB,69.0,220.0,4.8,35.5,16.0,117.0,7.63,4.5,0.0,0.0,2015.0,20.0,29.0,0.0,236.0,8.1,262.0,56.0,12.0,1252.0,4.8
Kenny Hilliard,RB,72.0,226.0,4.83,27.0,0.0,111.0,7.17,4.4,1.0,235.0,2015.0,12.0,4.0,0.0,35.0,8.8,90.0,28.0,6.0,447.0,5.0
Gus Johnson,RB,70.0,215.0,4.7,36.5,26.0,120.0,7.09,4.13,0.0,0.0,2015.0,4.0,1.0,0.0,4.0,4.0,8.0,30.0,1.0,26.0,3.3
Jeremy Langford,RB,72.0,208.0,4.42,34.5,0.0,118.0,7.22,4.32,1.0,106.0,2015.0,18.0,11.0,0.0,62.0,5.6,276.0,65.0,22.0,1522.0,5.5
Terrence Magee,RB,68.0,213.0,4.62,37.0,22.0,115.0,7.52,4.37,0.0,0.0,2015.0,32.0,17.0,0.0,171.0,10.1,112.0,38.0,3.0,571.0,5.1
Tevin Coleman,RB,71.0,206.0,4.4,0.0,22.0,0.0,0.0,0.0,1.0,73.0,2015.0,44.0,25.0,0.0,141.0,5.6,270.0,90.0,15.0,2036.0,7.5
David Cobb,RB,71.0,229.0,4.81,38.5,17.0,121.0,0.0,0.0,1.0,138.0,2015.0,33.0,16.0,0.0,162.0,10.1,315.0,67.0,13.0,1629.0,5.2
LaDarius Perkins,RB,67.0,195.0,4.46,35.5,23.0,124.0,7.08,4.3,0.0,0.0,2014.0,32.0,27.0,3.0,248.0,9.2,137.0,35.0,2.0,542.0,4.0
Lache Seastrunk,RB,69.0,201.0,4.51,41.5,15.0,134.0,0.0,0.0,1.0,186.0,2014.0,0.0,0.0,0.0,0.0,0.0,158.0,80.0,11.0,1177.0,7.4
Charles Sims,RB,72.0,214.0,4.48,37.5,17.0,126.0,7.16,4.3,1.0,69.0,2014.0,38.0,45.0,3.0,401.0,8.9,208.0,76.0,11.0,1095.0,5.3
Tre Mason,RB,68.0,207.0,4.5,38.5,0.0,126.0,0.0,4.15,1.0,75.0,2014.0,34.0,12.0,1.0,163.0,13.6,317.0,53.0,23.0,1816.0,5.7
Adam Muema,RB,70.0,202.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,14.0,18.0,0.0,98.0,5.4,256.0,57.0,15.0,1244.0,4.9
De'Anthony Thomas,RB,69.0,174.0,4.39,32.0,8.0,124.0,0.0,0.0,1.0,124.0,2014.0,28.0,22.0,1.0,246.0,11.2,96.0,40.0,8.0,594.0,6.2
Dominique Brown,RB,74.0,234.0,4.63,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2015.0,39.0,7.0,0.0,85.0,12.1,96.0,33.0,4.0,378.0,3.9
Cameron Artis-Payne,RB,70.0,212.0,4.53,36.5,0.0,118.0,7.13,0.0,1.0,174.0,2015.0,19.0,13.0,0.0,147.0,11.3,303.0,37.0,13.0,1608.0,5.3
Damien Williams,RB,71.0,222.0,4.45,35.5,16.0,121.0,7.37,4.25,0.0,0.0,2014.0,30.0,9.0,0.0,90.0,10.0,114.0,69.0,7.0,553.0,4.9
Ameer Abdullah,RB,69.0,205.0,4.6,42.5,24.0,130.0,6.79,3.95,1.0,54.0,2015.0,58.0,22.0,3.0,269.0,12.2,264.0,57.0,19.0,1611.0,6.1
Jay Ajayi,RB,72.0,221.0,4.57,39.0,19.0,121.0,7.1,4.1,1.0,149.0,2015.0,75.0,50.0,4.0,535.0,10.7,347.0,74.0,28.0,1823.0,5.3
Thomas Rawls,RB,69.0,215.0,4.65,35.5,15.0,116.0,0.0,0.0,0.0,0.0,2015.0,40.0,10.0,0.0,93.0,9.3,210.0,46.0,10.0,1103.0,5.3
Daniel Lasco,RB,72.0,209.0,4.46,41.5,23.0,135.0,7.22,4.26,1.0,237.0,2016.0,20.0,4.0,0.0,24.0,6.0,65.0,22.0,3.0,331.0,5.1
Derrick Henry,RB,75.0,247.0,4.54,37.0,22.0,130.0,7.2,4.38,1.0,45.0,2016.0,28.0,11.0,0.0,91.0,8.3,395.0,74.0,28.0,2219.0,5.6
Wendell Smallwood,RB,70.0,208.0,4.47,33.5,14.0,120.0,6.83,4.28,1.0,153.0,2016.0,15.0,26.0,0.0,160.0,6.2,238.0,52.0,9.0,1519.0,6.4
C.J. Prosise,RB,72.0,220.0,4.48,35.5,0.0,121.0,0.0,0.0,1.0,90.0,2016.0,56.0,26.0,1.0,308.0,11.8,156.0,91.0,11.0,1032.0,6.6
Paul Perkins,RB,70.0,208.0,4.54,32.0,19.0,124.0,0.0,0.0,1.0,149.0,2016.0,31.0,30.0,1.0,242.0,8.1,237.0,82.0,14.0,1343.0,5.7
Peyton Barber,RB,70.0,228.0,4.64,32.5,20.0,111.0,7.0,4.21,0.0,0.0,2016.0,28.0,11.0,0.0,112.0,10.2,238.0,36.0,13.0,1017.0,4.3
Devontae Booker,RB,71.0,219.0,4.56,0.0,22.0,0.0,0.0,0.0,1.0,136.0,2016.0,43.0,37.0,0.0,318.0,8.6,268.0,62.0,11.0,1261.0,4.7
T.J. Yeldon,RB,73.0,226.0,4.61,36.0,22.0,117.0,7.19,4.22,1.0,36.0,2015.0,37.0,15.0,1.0,180.0,12.0,194.0,31.0,11.0,979.0,5.0
Karlos Williams,RB,73.0,230.0,4.48,33.5,16.0,117.0,7.16,4.46,1.0,155.0,2015.0,27.0,29.0,1.0,265.0,9.1,150.0,28.0,11.0,689.0,4.6
Marshaun Coprich,RB,68.0,207.0,4.47,34.0,17.0,112.0,7.26,4.58,0.0,0.0,2016.0,13.0,4.0,0.0,33.0,8.3,13.0,7.0,0.0,32.0,2.5
Josh Ferguson,RB,69.0,198.0,4.48,34.5,21.0,120.0,0.0,0.0,0.0,0.0,2016.0,34.0,37.0,2.0,280.0,7.6,129.0,52.0,3.0,708.0,5.5
Tyler Ervin,RB,70.0,192.0,4.41,39.0,17.0,130.0,0.0,0.0,1.0,119.0,2016.0,24.0,45.0,2.0,334.0,7.4,294.0,71.0,13.0,1601.0,5.4
Ezekiel Elliott,RB,72.0,225.0,4.47,32.5,0.0,118.0,0.0,0.0,1.0,4.0,2016.0,30.0,27.0,0.0,206.0,7.6,289.0,80.0,23.0,1821.0,6.3
Kenyan Drake,RB,73.0,210.0,4.45,34.5,10.0,123.0,7.04,4.21,1.0,73.0,2016.0,69.0,29.0,1.0,276.0,9.5,77.0,58.0,1.0,408.0,5.3
Kenneth Dixon,RB,70.0,215.0,4.56,37.5,18.0,121.0,6.97,4.28,1.0,134.0,2016.0,59.0,34.0,7.0,467.0,13.7,197.0,65.0,19.0,1070.0,5.4
Tra Carson,RB,71.0,227.0,4.63,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2016.0,31.0,29.0,1.0,183.0,6.3,242.0,55.0,7.0,1165.0,4.8
Alex Collins,RB,70.0,217.0,4.59,28.5,18.0,113.0,0.0,0.0,1.0,171.0,2016.0,31.0,13.0,0.0,95.0,7.3,271.0,80.0,20.0,1577.0,5.8
Isiah Pacheco,RB,70.0,216.0,4.37,33.0,0.0,118.0,0.0,0.0,1.0,251.0,2022.0,11.0,13.0,0.0,25.0,1.9,167.0,26.0,5.0,647.0,3.9
Jet Anderson,RB,70.0,208.0,4.61,36.0,19.0,128.0,0.0,4.19,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,15.0,3.0
Jeff Wilson,RB,71.0,210.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2018.0,20.0,24.0,0.0,168.0,7.0,188.0,66.0,16.0,1215.0,6.5
