Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Antonio Callaway,WR,71.0,200.0,4.41,34.0,0.0,121.0,0.0,0.0,1.0,105.0,2018.0,78.0,54.0,3.0,721.0,13.4,5.0,24.0,1.0,32.0,6.4
Keke Coutee,WR,70.0,181.0,4.43,34.5,14.0,113.0,6.93,4.15,1.0,103.0,2018.0,77.0,93.0,10.0,1429.0,15.4,5.0,11.0,0.0,15.0,3.0
Dylan Cantrell,WR,75.0,226.0,4.59,38.5,18.0,130.0,6.56,4.03,1.0,191.0,2018.0,42.0,71.0,7.0,816.0,11.5,1.0,3.0,1.0,3.0,3.0
Deon Cain,WR,74.0,202.0,4.43,33.5,11.0,115.0,6.71,4.37,1.0,185.0,2018.0,61.0,58.0,6.0,734.0,12.7,0.0,0.0,0.0,0.0,0.0
Marcell Ateman,WR,76.0,216.0,4.62,34.0,13.0,121.0,7.07,4.25,1.0,228.0,2018.0,69.0,59.0,8.0,1156.0,19.6,0.0,0.0,0.0,0.0,0.0
Deontay Burnett,WR,72.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,42.0,86.0,9.0,1114.0,13.0,2.0,3.0,0.0,0.0,0.0
Braxton Berrios,WR,69.0,184.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,210.0,2018.0,55.0,54.0,9.0,670.0,12.4,1.0,9.0,0.0,9.0,9.0
Equanimeous St. brown,WR,77.0,214.0,4.48,0.0,20.0,0.0,0.0,0.0,1.0,207.0,2018.0,75.0,33.0,4.0,515.0,15.6,0.0,0.0,0.0,0.0,0.0
Devin Funchess,WR,76.0,232.0,4.7,38.5,17.0,122.0,0.0,0.0,1.0,41.0,2015.0,45.0,62.0,4.0,733.0,11.8,2.0,0.0,0.0,0.0,0.0
Antwan Goodley,WR,70.0,209.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,66.0,60.0,6.0,830.0,13.8,8.0,33.0,0.0,71.0,8.9
Dorial Green-Beckham,WR,77.0,237.0,4.49,33.5,13.0,119.0,6.89,4.45,1.0,40.0,2015.0,68.0,59.0,12.0,883.0,15.0,1.0,3.0,0.0,3.0,3.0
Rannell Hall,WR,72.0,198.0,4.6,41.0,16.0,132.0,6.86,4.15,0.0,0.0,2015.0,34.0,49.0,0.0,500.0,10.2,25.0,32.0,1.0,129.0,5.2
Justin Hardy,WR,70.0,192.0,4.56,36.5,11.0,114.0,6.63,4.21,1.0,107.0,2015.0,66.0,121.0,10.0,1494.0,12.3,1.0,7.0,1.0,7.0,7.0
Josh Harper,WR,73.0,191.0,4.64,32.0,13.0,108.0,7.15,4.36,0.0,0.0,2015.0,58.0,90.0,7.0,1097.0,12.2,2.0,2.0,0.0,0.0,0.0
Amari Cooper,WR,73.0,211.0,4.42,33.0,0.0,120.0,6.71,3.98,1.0,4.0,2015.0,80.0,124.0,16.0,1727.0,13.9,5.0,20.0,0.0,23.0,4.6
Jamison Crowder,WR,68.0,185.0,4.56,37.0,10.0,115.0,7.17,4.32,1.0,105.0,2015.0,52.0,85.0,6.0,1044.0,12.3,2.0,6.0,0.0,9.0,4.5
DaVaris Daniels,WR,73.0,201.0,4.62,37.0,13.0,122.0,0.0,0.0,0.0,0.0,2015.0,82.0,49.0,7.0,745.0,15.2,2.0,2.0,0.0,0.0,0.0
Geremy Davis,WR,74.0,216.0,4.49,36.5,23.0,124.0,6.86,4.18,1.0,186.0,2015.0,39.0,44.0,3.0,521.0,11.8,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,WR,72.0,195.0,4.46,35.0,0.0,115.0,7.03,4.32,1.0,146.0,2015.0,77.0,62.0,5.0,792.0,12.8,5.0,12.0,0.0,28.0,5.6
Phillip Dorsett,WR,70.0,185.0,4.33,37.0,13.0,122.0,6.7,4.11,1.0,29.0,2015.0,79.0,36.0,10.0,871.0,24.2,2.0,1.0,0.0,0.0,0.0
Ty Montgomery,WR,72.0,221.0,4.55,40.5,0.0,121.0,6.97,4.21,1.0,94.0,2015.0,44.0,61.0,3.0,604.0,9.9,23.0,18.0,1.0,144.0,6.3
Keith Mumphery,WR,72.0,215.0,4.54,32.5,0.0,121.0,7.07,4.25,1.0,175.0,2015.0,62.0,26.0,3.0,495.0,19.0,6.0,33.0,1.0,85.0,14.2
J.J. Nelson,WR,70.0,156.0,4.28,36.0,0.0,127.0,7.02,4.15,1.0,159.0,2015.0,88.0,35.0,4.0,655.0,18.7,5.0,18.0,0.0,45.0,9.0
DeVante Parker,WR,75.0,209.0,4.45,36.5,17.0,125.0,0.0,0.0,1.0,14.0,2015.0,71.0,43.0,5.0,855.0,19.9,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,WR,74.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,2015.0,61.0,50.0,9.0,1044.0,20.9,1.0,0.0,0.0,0.0,0.0
Ezell Ruffin,WR,72.0,218.0,4.68,27.5,17.0,110.0,7.35,4.58,0.0,0.0,2015.0,59.0,26.0,2.0,422.0,16.2,2.0,0.0,0.0,0.0,0.0
